name,top,top_saler,price1,price2,price3,price4,price5,delivery,link,color,size
Jeanees колпак 100-2 синий,1,Бубльгум,780 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/jeanees-kolpak-100-2-sinii-108302295/?c=750000000,[],[]
Толстовка Batik DS0150/10 синий 110,1,Бубльгум,3 770 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/batik-ds0150-10-sinii-108542024/?c=750000000,[],[]
Бюстгальтер Baykar 4408 3шт 170-176,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-4408-3sht-107985027/?c=750000000,[],[]
Футболка Ябольшой 249-612-06 синяя 116,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/jabol-shoi-249-612-06-sinjaja-104304294/?c=750000000,[],[]
Костюм Batik Лисичка 266 оранжевый 110,1,Бубльгум,8 630 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтра, бесплатноСамовывоз: завтра",https://kaspi.kz/shop/p/batik-lisichka-266-children-108197798/?c=750000000,[],[]
Бюстгальтер Baykar Baykar4409 бежевый 158-164,1,Бубльгум,2 916 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-baykar4409-bezhevyi-109116940/?c=750000000,[],[]
Платье Batik 0038_ЛП22 черный 158,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/batik-0038-lp22-chernyi-108492206/?c=750000000,[],[]
Трусы Baykar 7966 Children 182-188,1,Бубльгум,3 103 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-7966-children-108093221/?c=750000000,[],[]
Батик 0064_ЛС22 Children 104,1,Бубльгум,2 610 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/batik-0064-ls22-children-105810547/?c=750000000,[],[]
Футболка Batik DS0116/9 синий 110,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/batik-ds0116-9-sinii-108546365/?c=750000000,[],[]
Футболка Baykar 4200 Children 2 шт белый 110-116,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-4200-children-2-sht-belyi-108200321/?c=750000000,[],[]
Трусы Baykar 5397 Children белый 146-152,99,Жулдыз-(30 отзывов),1 050 ₸,---,---,---,---,Доставка завтраСамовывоз: завтра,https://kaspi.kz/shop/p/baykar-5397-children-belyi-108217098/?c=750000000,[],[]
Трусы Baykar 3660 Children мультиколор 122-128,99,ИП ГАЛИЕВ З.Р.(3 отзыва),4 500 ₸,---,---,---,---,"Kaspi Доставка, межгород, 16 мая",https://kaspi.kz/shop/p/baykar-3660-children-mul-tikolor-108584812/?c=750000000,[],[]
леггинсы Batik 0033_ЛС22 мультиколор 98,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/legginsy-batik-0033-ls22-mul-tikolor-108500095/?c=750000000,[],[]
Футболка Batik 02830_BAT голубой 68,1,Бубльгум,2 180 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/batik-02830-bat-goluboi-108500004/?c=750000000,[],[]
Колготки Para Socks K1 мультиколор 2 шт 98-104,1,Бубльгум,4 060 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/para-socks-k1-mul-tikolor-2-sht-106765558/?c=750000000,[],[]
Трусы Baykar 3190 Children 110-116,1,Бубльгум,3 230 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-3190-children-108584779/?c=750000000,[],[]
Футболка Baykar 2222 белый 98-104,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-2222-belyi-109160300/?c=750000000,[],[]
Бюстгальтер Baykar Baykar4409 белый 158-164,1,Бубльгум,2 755 ₸,2 800 ₸,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-baykar4409-belyi-109031558/?c=750000000,[],[]
Костюм Батик Мышонок 5012 серый 5-6 лет,1,Бубльгум,5 650 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтра, бесплатноСамовывоз: завтра",https://kaspi.kz/shop/p/batik-myshonok-5012-children-108859026/?c=750000000,[],[]
Футболка Let's GO 51212 Children серый 98,1,Бубльгум,1 900 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/let-s-go-51212-children-seryi-108675077/?c=750000000,[],[]
Ябольшой 263-1236-01 зеленая 80,1,Бубльгум,5 710 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/jabol-shoi-263-1236-01-babies-106308803/?c=750000000,[],[]
Распашонка Бамбук E011002K 56,1,Бубльгум,3 090 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/raspashonka-bambuk-e011002k-106270199/?c=750000000,[],[]
Куртка Артус ПЗ-4209-21 черный 122,1,Бубльгум,48 150 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/artus-pz-4209-21-chernyi-106782603/?c=750000000,[],[]
Кофточка Бамбук E020133KNR желтый 56,1,Бубльгум,2 550 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/koftochka-bambuk-e020133knr-zheltyi-56-109952916/?c=750000000,[],[]
Трусы Baykar 5266 Children мультиколор 98-104,2,ИП ГАЛИЕВ З.Р.(3 отзыва),2 700 ₸,2 882 ₸,---,---,---,"Kaspi Доставка, межгород, 16 мая",https://kaspi.kz/shop/p/baykar-5266-children-mul-tikolor-108201854/?c=750000000,[],[]
Боди Бамбук Кимоно M054034Y бежевый 68,1,Бубльгум,3 240 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/bambuk-kimono-m054034y-bezhevyi-68-109872917/?c=750000000,[],[]
Костюм Batik 924 к-18 Далматинец белый 104,1,Бубльгум,6 805 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-924-k-18-dalmatinets-belyi-106821471/?c=750000000,[],[]
Трусы Baykar 3670 Children мультиколор 134-140,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-3670-children-mul-tikolor-108216628/?c=750000000,[],[]
Толстовка Ябольшой 234-1058-01 красная 116,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/jabol-shoi-234-1058-01-children-104344523/?c=750000000,[],[]
Комплект Batik 0010 синий 62,1,Бубльгум,4 360 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/batik-0010-sinii-106346249/?c=750000000,[],[]
Бюстгальтер Baykar 4409 176-182,1,Бубльгум,5 525 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтра, бесплатноСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-4409-107985028/?c=750000000,[],[]
Костюм Batik 5322 Children 104,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/batik-5322-children-105877506/?c=750000000,[],[]
Batik Снегурочка 6011 Babies 74,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/batik-snegurochka-6011-babies-106627934/?c=750000000,[],[]
"Головной убор Поляярик шапка F-05-51 желтый 50, 52",1,Бубльгум,4 080 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/poljajarik-shapka-f-05-51-zheltyi-50-52-103674586/?c=750000000,[],[]
Боди Бамбук Боди M054032Y розовый 80,1,Бубльгум,3 340 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-bodi-m054032y-rozovyi-80-109743212/?c=750000000,[],[]
Комбинезон OLDOS OAW203T1OV22 Children 98,1,Бубльгум,43 200 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/oldos-oaw203t1ov22-children-107059718/?c=750000000,[],[]
Колготки Para Socks K1D1 синий 122-128,1,Бубльгум,2 140 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/para-socks-k1d1-sinii-122-128-110067311/?c=750000000,[],[]
Комбинезон Batik 102-23з голубой 80 голубой 80,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/batik-102-23z-goluboi-80-goluboi-106821231/?c=750000000,[],[]
Jeanees колпак 100-4 синий,1,Бубльгум,880 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/jeanees-kolpak-100-4-sinii-108302351/?c=750000000,[],[]
Комбинезон Ябольшой 263-1238-01 серый 86,1,Бубльгум,10 280 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/jabol-shoi-263-1238-01-babies-104655417/?c=750000000,[],[]
"Костюм Батик ""Принцесса Золушка"" 490 голубой 128",2,Atyrau Books (10 отзывов),25 800 ₸,29 840 ₸,---,---,---,"Kaspi Доставка, межгород, 21 мая, бесплатно",https://kaspi.kz/shop/p/batik-printsessa-zolushka-490-goluboi-107986502/?c=750000000,[],[]
"Батик 450-22в черный, зеленый 146",1,Бубльгум,30 530 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-450-22v-children-108918126/?c=750000000,[],[]
Пеленка Бамбук Лоно набивка-звездочки 2 шт,1,Бубльгум,5 500 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/pelenka-bambuk-lono-nabivka-zvezdochki-2-sht-102495377/?c=750000000,[],[]
Костюм Batik Кошечка 2203 розовый 110,1,Бубльгум,3 470 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/batik-koshechka-2203-children-108197788/?c=750000000,[],[]
Колготки LB LB 380 синий 110-116,1,Бубльгум,2 120 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-lb-380-sinii-110-116-110127771/?c=750000000,[],[]
"Головной убор YO! бейсболка CZD-0611F черный 56, 60",1,Бубльгум,3 210 ₸,---,---,---,---,"Kaspi Доставка, межгород, 16 маяСамовывоз: завтра",https://kaspi.kz/shop/p/yo-beisbolka-czd-0611f-chernyi-56-60-109842114/?c=750000000,[],[]
Футболка Let's GO 51210 коралловый 92,1,Бубльгум,2 150 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/let-s-go-51210-korallovyi-108545195/?c=750000000,[],[]
Колготки Para Socks K2D3 синий 134-140,1,Бубльгум,2 070 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/para-socks-k2d3-sinii-134-140-109782270/?c=750000000,[],[]
Бамбук MU011014K Babies 56,1,Бубльгум,4 480 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/bambuk-mu011014k-babies-106270197/?c=750000000,[],[]
Костюм Батик Снеговик 137 белый 4-5 лет,1,Бубльгум,8 730 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтра, бесплатноСамовывоз: завтра",https://kaspi.kz/shop/p/batik-snegovik-137-children-108859043/?c=750000000,[],[]
"Набор Бамбук E055002K розовый, голубой, бежевый 62",1,Бубльгум,2 460 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-e055002k-rozovyi-goluboi-bezhevyi-62-107435703/?c=750000000,[],[]
Колготки LB LB 351 серый 98-104,1,Бубльгум,2 010 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-lb-351-seryi-98-104-110186674/?c=750000000,[],[]
Комбинезон Бамбук E060007KNR желтый 74,1,Бубльгум,3 880 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/bambuk-e060007knr-zheltyi-74-109706381/?c=750000000,[],[]
Костюм Batik Зайка Симка 5008 голубой 122,1,Бубльгум,8 530 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтра, бесплатноСамовывоз: завтра",https://kaspi.kz/shop/p/batik-zaika-simka-5008-goluboi-122-109059216/?c=750000000,[],[]
Брюки Ябольшой 216-491-01 черный 98,1,Бубльгум,3 740 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/jabol-shoi-216-491-01-children-108854815/?c=750000000,[],[]
"Головной убор YO! бейсболка CZD-0642C синий 50, 54",1,Бубльгум,3 210 ₸,---,---,---,---,"Kaspi Доставка, межгород, 16 маяСамовывоз: завтра",https://kaspi.kz/shop/p/yo-beisbolka-czd-0642c-sinii-50-54-109914227/?c=750000000,[],[]
Пижама Baykar 9741 голубой 152-158,1,Бубльгум,6 825 ₸,6 828 ₸,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/pizhama-baykar-9741-goluboi-109291920/?c=750000000,[],[]
Набор Бамбук MU055006KNR мультиколор 62,1,Бубльгум,4 430 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-mu055006knr-mul-tikolor-62-110086832/?c=750000000,[],[]
"Костюм Batik Королева ночи 934 черный, серебристый 116",1,Бубльгум,11 900 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-koroleva-nochi-934-children-108197792/?c=750000000,[],[]
Шорты Baykar 3308 черный 158-164,1,Бубльгум,2 360 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-3308-chernyi-158-164-109059171/?c=750000000,[],[]
Колготки LB LB 351 черный 98-104,1,Бубльгум,2 010 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-lb-351-chernyi-98-104-110185669/?c=750000000,[],[]
Batik 413-22в 98,1,Бубльгум,26 500 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-413-22v-104305808/?c=750000000,[],[]
Боди Бамбук Кимоно M054034Y желтый 56,1,Бубльгум,3 240 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/bambuk-kimono-m054034y-zheltyi-109866064/?c=750000000,[],[]
Колготки LB LB 380 серый 98-104,1,Бубльгум,2 010 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-lb-380-seryi-98-104-110094156/?c=750000000,[],[]
Бамбук MU011013KNR синий 56,1,Бубльгум,4 610 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-mu011013knr-sinii-56-110156509/?c=750000000,[],[]
"Комплект Батик Зайка U2299/4/24 белый, розовый 74",1,Бубльгум,7 440 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-zaika-u2299-4-24-babies-109072752/?c=750000000,[],[]
Костюм Batik Тигренок 8002 мультиколор 110,1,Бубльгум,10 420 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-tigrenok-8002-mul-tikolor-107986614/?c=750000000,[],[]
Колготки LB LB 351 серый 80-86,1,Бубльгум,1 810 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-lb-351-seryi-80-86-110185665/?c=750000000,[],[]
Колготки Para Socks K2D3 синий 158-164,1,Бубльгум,2 380 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/para-socks-k2d3-sinii-158-164-109782266/?c=750000000,[],[]
Набор Бамбук MU055006KNR мультиколор 74,1,Бубльгум,4 430 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-mu055006knr-mul-tikolor-74-110086835/?c=750000000,[],[]
Боди Бамбук Кимоно M054034KL белый 62,1,Бубльгум,3 880 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-kimono-m054034kl-belyi-62-110034472/?c=750000000,[],[]
Боди Бамбук Боди MP054034Y розовый 68,1,Бубльгум,3 740 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-bodi-mp054034y-rozovyi-68-109744875/?c=750000000,[],[]
Костюм Batik Принцесса Аврора 493 розовый 122,1,Бубльгум,27 180 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-printsessa-avrora-493-children-108197817/?c=750000000,[],[]
Костюм Батик 406 мультиколор 146,1,Бубльгум,10 120 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтра, бесплатноСамовывоз: завтра",https://kaspi.kz/shop/p/batik-406-children-108106389/?c=750000000,[],[]
Костюм Батик Гномик Тоша 4002 к-18 зеленый 4-5 лет,1,Бубльгум,6 940 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-gnomik-tosha-4002-k-18-children-108858988/?c=750000000,[],[]
Комплект Пижама LetsGo 31148 Babies 74,1,Бубльгум,3 420 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/pizhama-letsgo-31148-babies-106451454/?c=750000000,[],[]
Batik берет Берет пограничника 2107 к-21 мультиколор,1,Бубльгум,2 480 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/batik-beret-beret-pogranichnika-2107-k-21-mul-tikolor-109630656/?c=750000000,[],[]
Пижама Baykar 9687 мультиколор 152-158,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/pizhama-baykar-9687-mul-tikolor-109291281/?c=750000000,[],[]
Футболка Let's GO 51214 коралловый 92,1,Бубльгум,2 150 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/let-s-go-51214-korallovyi-92-109059220/?c=750000000,[],[]
Костюм Batik Принцесса Ариель 491 зеленый 134,1,Бубльгум,29 360 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-printsessa-ariel-491-children-108197816/?c=750000000,[],[]
Демисезонная куртка Yixin 23К6/96 голубой 104,1,Бубльгум,8 950 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/demisezonnaja-kurtka-yixin-23k6-96-goluboi-109350595/?c=750000000,[],[]
Костюм Batik Винни 300 Children 104,1,Бубльгум,8 230 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-vinni-300-children-105877491/?c=750000000,[],[]
Колготки Para Socks K2D5 белый 74-80,1,Бубльгум,1 710 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/para-socks-k2d5-belyi-74-80-109417791/?c=750000000,[],[]
Костюм Белый Медведь Батик 117 Children 110,1,Бубльгум,6 840 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/belyi-medved-batik-117-children-108859044/?c=750000000,[],[]
Майка Baykar 4396 Babies 2шт 86,1,Бубльгум,3 627 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-4396-babies-2sht-106269150/?c=750000000,[],[]
"Боди Ябольшой 150-175-01 белый, желтый 68",1,Бубльгум,2 080 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/jabol-shoi-150-175-01-belyi-zheltyi-108416833/?c=750000000,[],[]
Конверт BABYGLORY K030+306Ф белый 68,1,Бубльгум,29 357 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/babyglory-k030-306f-belyi-68-108962278/?c=750000000,[],[]
Колготки Para Socks K2D1 синий 140-146,1,Бубльгум,2 300 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/para-socks-k2d1-sinii-140-146-109417776/?c=750000000,[],[]
Колготки Para Socks K2D2 белый 110-116,1,Бубльгум,1 710 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/para-socks-k2d2-belyi-110-116-109417700/?c=750000000,[],[]
Костюм Батик 203 Заяц 110,1,Бубльгум,10 970 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/batik-203-zajats-108106367/?c=750000000,[],[]
Ветровка АксАрт 4467 синий 122,1,Бубльгум,29 800 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/vetrovka-aksart-4467-sinii-122-109873118/?c=750000000,[],[]
Комплект Ябольшой 254-1192к-01 Babies 86,1,Бубльгум,10 510 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая, бесплатно",https://kaspi.kz/shop/p/jabol-shoi-254-1192k-01-babies-106345631/?c=750000000,[],[]
Кардиган SAFARI 219 синий 116,1,Бубльгум,4 340 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/safari-219-children-106749394/?c=750000000,[],[]
